protectedDiv(protectedDiv(add(b, c), sub(a, b)), protectedDiv(add(c, c), add(c, c)))	protectedDiv(sub(add(a, c), protectedDiv(c, b)), add(add(c, a), add(c, a)))	sub(c, c)	sub(protectedDiv(b, b), protectedDiv(b, b))	protectedDiv(a, b)	protectedDiv(sub(protectedDiv(b, a), protectedDiv(a, c)), add(sub(b, c), add(c, c)))	protectedDiv(sub(c, b), add(a, c))	protectedDiv(b, b)	add(protectedDiv(b, c), protectedDiv(b, a))	sub(protectedDiv(a, b), protectedDiv(a, c))	add(sub(a, b), sub(a, a))	add(add(a, c), sub(b, c))	sub(sub(add(c, c), add(b, b)), sub(protectedDiv(c, b), protectedDiv(b, b)))	add(sub(c, c), protectedDiv(c, b))	sub(b, a)	protectedDiv(b, b)	add(sub(add(c, a), sub(a, a)), protectedDiv(sub(b, b), protectedDiv(c, a)))	protectedDiv(protectedDiv(add(a, a), sub(c, b)), add(add(c, b), protectedDiv(a, b)))	sub(c, c)	add(c, a)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, protectedDiv(protectedDiv(b, b), add(a, a)))	sub(c, c)	sub(add(a, b), c)	c	sub(c, c)	sub(c, sub(add(c, b), add(b, c)))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, b)	sub(c, c)	sub(c, c)	protectedDiv(add(c, a), sub(a, c))	sub(c, c)
sub(c, c)	sub(c, c)	sub(a, b)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, sub(protectedDiv(c, c), add(a, c)))	sub(c, c)	sub(c, c)	sub(add(sub(c, a), add(a, a)), c)	sub(a, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(b, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
add(c, b)	add(protectedDiv(c, c), add(b, c))	a	sub(c, c)	sub(c, b)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	add(c, b)	b	sub(c, c)	sub(c, c)	sub(c, c)	protectedDiv(protectedDiv(b, b), add(b, b))	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	protectedDiv(add(a, b), protectedDiv(c, a))	a	sub(c, c)	a	protectedDiv(protectedDiv(c, c), add(b, b))	sub(b, c)	sub(c, c)	a	sub(c, c)	sub(c, c)	sub(c, c)	a	sub(c, c)	c	sub(c, c)	sub(c, c)	sub(c, c)	a
sub(add(c, b), c)	sub(c, c)	sub(c, c)	protectedDiv(add(a, b), protectedDiv(c, a))	sub(c, c)	a	a	a	sub(c, sub(protectedDiv(b, b), add(c, b)))	a	protectedDiv(add(a, b), protectedDiv(c, a))	sub(c, sub(add(a, b), sub(b, c)))	sub(c, c)	sub(c, c)	sub(c, c)	a	sub(c, c)	b	sub(c, c)	sub(add(sub(c, b), add(c, a)), c)
sub(c, sub(add(a, b), sub(b, c)))	a	a	protectedDiv(add(a, b), protectedDiv(c, a))	a	sub(c, c)	a	a	a	a	sub(sub(a, c), sub(a, c))	protectedDiv(add(a, b), protectedDiv(c, a))	a	sub(b, b)	protectedDiv(add(a, b), protectedDiv(c, a))	a	sub(c, c)	a	add(c, b)	protectedDiv(add(a, b), protectedDiv(c, a))
a	a	a	a	a	a	a	a	a	protectedDiv(add(a, b), protectedDiv(c, a))	a	a	a	a	a	a	a	a	a	a
a	a	a	sub(protectedDiv(a, a), add(c, a))	a	a	a	a	a	a	a	add(b, b)	add(protectedDiv(c, b), protectedDiv(a, a))	a	a	c	add(sub(b, c), sub(a, b))	a	a	sub(a, c)
a	a	add(protectedDiv(c, b), protectedDiv(a, a))	c	a	a	add(add(c, a), protectedDiv(a, b))	protectedDiv(protectedDiv(c, a), add(a, b))	a	a	sub(add(a, b), sub(c, a))	a	a	a	a	a	a	a	sub(c, a)	c
a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(add(b, c), sub(b, b))	a	a	a	a	a	a	a
a	a	a	a	a	a	a	c	a	a	a	a	a	a	a	a	a	protectedDiv(b, a)	a	a
a	a	c	a	a	a	a	a	a	a	a	sub(sub(c, c), add(a, b))	a	a	a	a	a	a	add(add(b, b), sub(a, c))	a
protectedDiv(b, c)	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(c, a)	a	a
a	sub(protectedDiv(b, a), protectedDiv(a, b))	a	a	protectedDiv(b, a)	a	a	a	add(b, c)	a	a	a	a	a	a	a	a	a	a	protectedDiv(c, c)
a	a	a	a	a	a	a	a	protectedDiv(protectedDiv(c, c), protectedDiv(c, b))	a	a	a	sub(c, c)	a	a	a	a	c	c	a
add(a, b)	sub(add(b, c), sub(b, b))	a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(b, c)	a	a	a
protectedDiv(protectedDiv(b, b), sub(c, c))	a	a	a	a	protectedDiv(sub(b, b), add(c, b))	a	a	a	protectedDiv(add(b, b), sub(b, a))	a	a	a	a	a	a	add(sub(a, c), sub(a, a))	a	a	a
a	a	a	a	a	a	a	a	a	add(c, a)	a	a	a	a	a	a	add(c, a)	a	protectedDiv(add(a, b), add(c, c))	a
a	a	protectedDiv(add(c, a), add(c, c))	a	protectedDiv(add(a, c), add(a, b))	a	sub(c, a)	a	a	a	a	a	a	a	add(add(c, a), add(a, c))	a	a	a	a	a
a	sub(c, c)	a	a	a	protectedDiv(add(a, a), add(c, a))	a	a	a	a	sub(protectedDiv(b, c), sub(c, a))	a	a	protectedDiv(add(a, c), add(a, b))	sub(b, c)	a	a	a	a	a
a	a	a	a	protectedDiv(a, b)	c	protectedDiv(protectedDiv(b, b), sub(a, b))	a	a	a	a	a	protectedDiv(b, b)	a	a	add(a, b)	a	protectedDiv(sub(b, b), add(c, c))	sub(c, b)	a
a	a	a	a	a	a	a	a	a	sub(sub(c, a), protectedDiv(a, b))	a	a	a	a	a	a	a	a	a	add(a, c)
sub(add(c, a), add(c, a))	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(add(a, a), sub(a, b))	a	a
a	a	a	a	sub(add(b, c), protectedDiv(a, b))	add(a, b)	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	protectedDiv(sub(c, b), sub(a, c))	protectedDiv(sub(a, a), add(c, b))	a	a	a	a	a	a	a	sub(sub(c, a), add(c, b))	a	protectedDiv(a, a)	a	a	c	a	a	a
a	a	a	a	protectedDiv(c, c)	protectedDiv(c, a)	a	a	a	sub(a, b)	a	a	a	a	protectedDiv(protectedDiv(b, a), sub(a, a))	a	a	a	protectedDiv(add(c, c), protectedDiv(b, a))	a
a	c	protectedDiv(sub(b, a), protectedDiv(b, b))	a	add(sub(b, b), protectedDiv(a, b))	a	a	a	a	protectedDiv(c, b)	b	a	a	a	sub(c, a)	a	a	a	a	a
a	a	a	a	b	a	a	sub(sub(b, a), add(b, a))	a	a	a	a	a	a	a	a	a	a	a	a
